window_id,vehicle_id,manufacturer,dataset_set,subset_name,attack_type,label,source_file,frame_count,unique_can_id_count,can_id_entropy,most_common_can_id_ratio,id_transition_rate,id_repetition_rate,mean_inter_arrival_time,std_inter_arrival_time,min_inter_arrival_time,max_inter_arrival_time,message_rate,mean_dlc,std_dlc,dlc_mode_ratio,byte_mean_0,byte_mean_1,byte_mean_2,byte_mean_3,byte_mean_4,byte_mean_5,byte_mean_6,byte_mean_7,byte_std_0,byte_std_1,byte_std_2,byte_std_3,byte_std_4,byte_std_5,byte_std_6,byte_std_7,payload_change_rate,payload_static_ratio,anomaly_score,weak_threshold,strong_threshold,weak_prediction,strong_prediction
55,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-24.csv,100.0,20.0,2.5228788976837455,0.4,0.5,0.5,0.0009940433042435832,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.041508277331781,10.005535554819733,9.983824763018765,10.030769214255201,10.08212026896284,9.938243600640552,10.028194847200853,10.017256771496678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.1287827164669934,0.3,0.7,0,0
59,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-28.csv,100.0,20.0,2.504681152373919,0.4,0.5,0.5,0.0009989741983417535,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.967221545313613,9.998622148869218,10.018189198065476,10.11329413006576,9.97543840646071,10.015332903221967,10.07315183608081,9.896091566199615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.11284809011826502,0.3,0.7,0,0
57,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-26.csv,100.0,20.0,2.5089314941791625,0.4,0.5,0.5,0.0009859945011605942,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.921380482937764,10.056307061834529,9.95366402371785,10.007424177279091,9.946296400247292,9.990815673563592,9.93606524368756,10.081508702595453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.149054378505663,0.3,0.7,0,0
58,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-27.csv,100.0,20.0,2.49878005732362,0.4,0.5,0.5,0.0009981180051838688,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.060304889663504,9.929005122195077,9.998332898378939,9.98953828662106,10.026496277060774,10.02360083895905,9.976812673302927,10.011979299556264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.18126844088789562,0.3,0.7,0,0
60,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-29.csv,100.0,20.0,2.4881134064988415,0.4,0.5,0.5,0.0009988576345716508,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.121998839074653,10.019568348619767,10.06040376708401,9.988898032465178,9.876813811785047,9.884318082027963,10.050930961783644,10.009242977125265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.13507504160936595,0.3,0.7,0,0
56,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-25.csv,100.0,20.0,2.516147108672324,0.4,0.5,0.5,0.0010194935871086382,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.952361400565808,10.086895024766587,10.002807305906948,9.991837583057778,10.075172447263238,10.011371642760572,10.01615879531843,10.075883748731815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.26441099597489887,0.3,0.7,0,0
53,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-22.csv,100.0,20.0,2.498523736908578,0.4,0.5,0.5,0.0010127469891075104,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.014421587094446,9.94400882503216,9.98717952125057,9.950908262923718,10.038396769212858,9.942345229298992,10.066128635045983,10.028909397128531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.09888449498093049,0.3,0.7,0,0
54,chevrolet_impala,Chevrolet,set_01,test_01_known_vehicle_known_attack,benign,0,benign-23.csv,100.0,20.0,2.507843414146031,0.4,0.5,0.5,0.001015530163621398,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.960473814419268,10.049262610644481,9.910080913414937,10.0126078305823,9.91693053191566,10.024119549482416,9.91060186249587,9.868356489629566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.219804658429248,0.3,0.7,0,0
115,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-24.csv,100.0,20.0,2.513895822171755,0.4,0.5,0.5,0.0010196390827195265,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.997737685844154,9.997609556523715,10.071714017177545,10.071327140767949,10.016404623560717,10.035000131323292,9.9612828319093,10.02854993617424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.15802651039990265,0.3,0.7,0,0
119,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-28.csv,100.0,20.0,2.498057269825126,0.4,0.5,0.5,0.0009909622237600818,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.868244723319982,9.993927591959713,10.057940963929832,9.975766597706029,9.906827996409028,10.012477003179574,10.003106428289541,10.04917605018036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.24467971419775006,0.3,0.7,0,0
117,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-26.csv,100.0,20.0,2.4917811353236012,0.4,0.5,0.5,0.00100006234061703,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.982513312389107,9.955288972704148,9.924360442470066,9.994269804249596,9.955530747667531,10.10684582532987,9.994238337702942,9.987943405402712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.17928428300271188,0.3,0.7,0,0
118,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-27.csv,100.0,20.0,2.5185890398876043,0.4,0.5,0.5,0.0009904147147403266,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.991115979419941,9.960682694705122,9.992931897822823,9.99737508550437,10.054110045298366,9.92835273369046,9.998118358794143,10.079984206753462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.1736710822541448,0.3,0.7,0,0
120,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-29.csv,100.0,20.0,2.4971288558052884,0.4,0.5,0.5,0.00100382936581471,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.909184619849812,10.054843119592475,10.008448541116445,10.053414320170527,10.052288401698684,9.984782723567921,9.991678293921296,9.955411464364147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.09583228069483002,0.3,0.7,0,0
116,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-25.csv,100.0,20.0,2.4984135866737622,0.4,0.5,0.5,0.0009986328355601275,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.975873995218492,9.893715953225863,9.957987542295536,10.015961124553876,9.996253007776613,9.979610011351108,10.020728959067458,10.033729325383842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.24166896753130218,0.3,0.7,0,0
113,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-22.csv,100.0,20.0,2.4774246110195413,0.4,0.5,0.5,0.0010072594968648773,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.10309465984002,10.08954969043023,9.971144234008053,10.003401932386891,10.024969405694494,10.044193758699704,10.00125577963424,9.944783294123033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.23723786710313585,0.3,0.7,0,0
114,chevrolet_traverse,Chevrolet,set_02,test_01_known_vehicle_known_attack,benign,0,benign-23.csv,100.0,20.0,2.5060510274687817,0.4,0.5,0.5,0.0009865917570022996,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.981120195569208,10.012921248691324,9.999323147992094,10.025674988255398,10.039228334875755,10.026528609230123,9.993692796391272,9.93197856130391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.23021024376647273,0.3,0.7,0,0
175,chevrolet_silverado,Chevrolet,set_03,test_01_known_vehicle_known_attack,benign,0,benign-24.csv,100.0,20.0,2.513363866286171,0.4,0.5,0.5,0.0010126507727869329,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,9.964310525530038,10.006740163311033,9.867814837391846,9.9704216134658,10.031302437791327,9.923121231712969,9.897967920572555,9.936096548889594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.21204949528057704,0.3,0.7,0,0
179,chevrolet_silverado,Chevrolet,set_03,test_01_known_vehicle_known_attack,benign,0,benign-28.csv,100.0,20.0,2.4838779288740374,0.4,0.5,0.5,0.001010784096663338,0.0005,1e-06,0.01,800.0,8.0,0.1,1.0,10.142072912754603,10.031241950622352,10.030233689228261,10.008137645299922,10.046706260058189,9.982682402227985,10.038931811481257,9.99192702932335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.7,0.1844165132238493,0.3,0.7,0,0
