event_id,vehicle_model,attack_type,algorithm,cluster_id,n_vehicles_in_cluster,mean_behavioural_similarity,final_classification
EVT-CHV-000014,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000018,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-000060,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000105,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000166,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000251,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000276,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-000294,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000348,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000385,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000394,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000408,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000424,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000426,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000431,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000432,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000449,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000464,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000478,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000482,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000486,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000490,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000523,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000524,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000528,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000541,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000547,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000569,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000570,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000608,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000615,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000616,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000629,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000633,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000682,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000685,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000697,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000707,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000708,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000711,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000721,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000731,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000753,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000754,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000768,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000774,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000776,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000777,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000783,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000799,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000803,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000822,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000823,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000845,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000846,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000881,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000890,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000891,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
