set_id,seed,scenario,before_incorrect_merge,after_incorrect_merge,before_campaign_f1,after_campaign_f1,before_false_campaign,after_false_campaign
set_01,11,Benign-Fleet Control,0.0,0.0,0.0,0.0,1,0
set_01,11,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,11,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,11,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,11,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,23,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,23,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,23,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,23,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,23,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,37,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,37,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,37,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,37,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,37,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,41,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,41,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,41,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,41,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,41,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,53,Benign-Fleet Control,0.0,0.0,0.0,0.0,1,0
set_01,53,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,53,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,53,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,53,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,67,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,67,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,67,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,67,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,67,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,71,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,71,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,71,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,71,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,71,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,83,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,83,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,83,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,83,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,83,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,97,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,97,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,97,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,97,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,97,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,101,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_01,101,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_01,101,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_01,101,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_01,101,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,11,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,11,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,11,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,11,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,11,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,23,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,23,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,23,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,23,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,23,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,37,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,37,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,37,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,37,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,37,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,41,Benign-Fleet Control,0.0,0.0,0.0,0.0,1,0
set_02,41,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,41,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,41,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,41,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,53,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,53,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,53,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,53,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,53,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,67,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,67,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,67,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,67,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,67,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
