artifact,metric,dataset,vehicle_or_subset,value,source_file,source_column,notes
LOCAL_COMP1,PR-AUC,OCSLab,pooled,0.9273,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,PR-AUC,
LOCAL_COMP1,PR-AUC,CTT,pooled,0.9386,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,pr_auc,FPR <= 5% (corrected eval ground truth)
LOCAL_COMP1,Precision,OCSLab,pooled,0.9728,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,Precision,
LOCAL_COMP1,Precision,CTT,pooled,0.9465,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,precision,FPR <= 5% (corrected eval ground truth)
LOCAL_COMP1,Recall,OCSLab,pooled,0.4596,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,Recall,
LOCAL_COMP1,Recall,CTT,pooled,0.2272,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,recall,FPR <= 5% (corrected eval ground truth)
LOCAL_COMP1,F1,OCSLab,pooled,0.6243,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,F1,
LOCAL_COMP1,F1,CTT,pooled,0.3543,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,f1,FPR <= 5% (corrected eval ground truth)
LOCAL_COMP1,FPR,OCSLab,pooled,0.0395,tmp_ocslab_curated_sources/paper/results/table_01_vehicle_level_ids.csv,FPR,
LOCAL_COMP1,FPR,CTT,pooled,0.0497,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,fpr,FPR <= 5% (corrected eval ground truth)
LOCAL_COMP2,PR-AUC,CTT,Chevrolet Impala,0.91,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,pr_auc,
LOCAL_COMP2,Precision,CTT,Chevrolet Impala,0.9101,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,precision,
LOCAL_COMP2,Recall,CTT,Chevrolet Impala,0.1094,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,recall,
LOCAL_COMP2,F1,CTT,Chevrolet Impala,0.195,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,f1,
LOCAL_COMP2,FPR,CTT,Chevrolet Impala,0.0497,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,fpr,
LOCAL_COMP2,PR-AUC,CTT,Chevrolet Silverado,0.9567,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,pr_auc,
LOCAL_COMP2,Precision,CTT,Chevrolet Silverado,0.9681,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,precision,
LOCAL_COMP2,Recall,CTT,Chevrolet Silverado,0.2929,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,recall,
LOCAL_COMP2,F1,CTT,Chevrolet Silverado,0.4497,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,f1,
LOCAL_COMP2,FPR,CTT,Chevrolet Silverado,0.0497,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,fpr,
LOCAL_COMP2,PR-AUC,CTT,Chevrolet Traverse,0.9231,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,pr_auc,
LOCAL_COMP2,Precision,CTT,Chevrolet Traverse,0.9303,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,precision,
LOCAL_COMP2,Recall,CTT,Chevrolet Traverse,0.1388,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,recall,
LOCAL_COMP2,F1,CTT,Chevrolet Traverse,0.2415,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,f1,
LOCAL_COMP2,FPR,CTT,Chevrolet Traverse,0.0497,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,fpr,
LOCAL_COMP2,PR-AUC,CTT,Subaru Forester,0.9645,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,pr_auc,
LOCAL_COMP2,Precision,CTT,Subaru Forester,0.9776,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,precision,
LOCAL_COMP2,Recall,CTT,Subaru Forester,0.3676,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,recall,
LOCAL_COMP2,F1,CTT,Subaru Forester,0.531,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,f1,
LOCAL_COMP2,FPR,CTT,Subaru Forester,0.0498,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR1_local_threshold_policy_comparison.csv,fpr,
