window_id,vehicle_id,vehicle_model,anomaly_score,local_alert,gnn_campaign_score,cluster_id,vehicles_in_cluster,behavioral_cohesion,eval_dominant_attack_type,final_decision
2,Chevrolet,Chevrolet,0.827548,1,0.5269,-1,0,0.0,,isolated_attack
13,Chevrolet,Chevrolet,0.9346,1,0.6425,-1,0,0.0,,isolated_attack
14,Chevrolet,Chevrolet,0.945561,1,0.7587,-1,0,0.0,,isolated_attack
18,Chevrolet,Chevrolet,0.963829,1,0.6872,-1,0,0.0,,isolated_attack
28,Chevrolet,Chevrolet,0.850566,1,0.5639,-1,0,0.0,,isolated_attack
32,Chevrolet,Chevrolet,0.848374,1,0.5349,-1,0,0.0,,isolated_attack
41,Chevrolet,Chevrolet,0.914505,1,0.6212,-1,0,0.0,,isolated_attack
59,Chevrolet,Chevrolet,0.875776,1,0.5679,-1,0,0.0,,isolated_attack
60,Chevrolet,Chevrolet,0.966021,1,0.6859,-1,0,0.0,,isolated_attack
63,Chevrolet,Chevrolet,0.945926,1,0.6694,-1,0,0.0,,isolated_attack
76,Chevrolet,Chevrolet,0.811838,1,0.4702,-1,0,0.0,,isolated_attack
86,Chevrolet,Chevrolet,0.849836,1,0.5478,-1,0,0.0,,isolated_attack
105,Chevrolet,Chevrolet,0.948849,1,0.7618,-1,0,0.0,,isolated_attack
106,Chevrolet,Chevrolet,0.800146,1,0.5608,-1,0,0.0,,isolated_attack
109,Chevrolet,Chevrolet,0.88418,1,0.5844,-1,0,0.0,,isolated_attack
113,Chevrolet,Chevrolet,0.814761,1,0.5081,-1,0,0.0,,isolated_attack
156,Chevrolet,Chevrolet,0.839605,1,0.5708,-1,0,0.0,,isolated_attack
159,Chevrolet,Chevrolet,0.806723,1,0.5279,-1,0,0.0,,isolated_attack
166,Chevrolet,Chevrolet,0.957983,1,0.814,-1,0,0.0,,isolated_attack
171,Chevrolet,Chevrolet,0.868834,1,0.563,-1,0,0.0,,isolated_attack
173,Chevrolet,Chevrolet,0.828645,1,0.5122,-1,0,0.0,,isolated_attack
179,Chevrolet,Chevrolet,0.892948,1,0.5891,-1,0,0.0,,isolated_attack
184,Chevrolet,Chevrolet,0.931312,1,0.6541,-1,0,0.0,,isolated_attack
186,Chevrolet,Chevrolet,0.9251,1,0.6453,-1,0,0.0,,isolated_attack
188,Chevrolet,Chevrolet,0.911217,1,0.7064,-1,0,0.0,,isolated_attack
199,Chevrolet,Chevrolet,0.918524,1,0.7433,-1,0,0.0,,isolated_attack
200,Chevrolet,Chevrolet,0.849105,1,0.5348,-1,0,0.0,,isolated_attack
224,Chevrolet,Chevrolet,0.802338,1,0.4912,-1,0,0.0,,isolated_attack
