attack_type,metric,value,similarity_view
flooding,average_same_vehicle_similarity,0.9869519037413597,full_descriptor
flooding,average_cross_vehicle_similarity,0.9550022912633419,full_descriptor
flooding,average_same_attack_cross_vehicle_similarity,0.9550022912633419,full_descriptor
fuzzy,average_same_vehicle_similarity,0.985181905002594,full_descriptor
fuzzy,average_cross_vehicle_similarity,0.9739807455205918,full_descriptor
fuzzy,average_same_attack_cross_vehicle_similarity,0.9739807455205918,full_descriptor
replay,average_same_vehicle_similarity,0.9971670390498638,full_descriptor
replay,average_cross_vehicle_similarity,0.9773303903055192,full_descriptor
replay,average_same_attack_cross_vehicle_similarity,0.9773303903055192,full_descriptor
malfunction,average_same_vehicle_similarity,0.9813757714915275,full_descriptor
malfunction,average_cross_vehicle_similarity,0.9647767495310307,full_descriptor
malfunction,average_same_attack_cross_vehicle_similarity,0.9647767495310307,full_descriptor
flooding,average_different_attack_cross_vehicle_similarity,0.9511757551336288,full_descriptor
fuzzy,average_different_attack_cross_vehicle_similarity,0.9579460618770123,full_descriptor
replay,average_different_attack_cross_vehicle_similarity,0.9644521371185779,full_descriptor
malfunction,average_different_attack_cross_vehicle_similarity,0.9574981447923183,full_descriptor
flooding,average_same_vehicle_similarity,0.9999643425405026,behavior_only
flooding,average_cross_vehicle_similarity,0.9999537666666508,behavior_only
flooding,average_same_attack_cross_vehicle_similarity,0.9999537666666508,behavior_only
fuzzy,average_same_vehicle_similarity,0.9999825542199612,behavior_only
fuzzy,average_cross_vehicle_similarity,0.9999761867630482,behavior_only
fuzzy,average_same_attack_cross_vehicle_similarity,0.9999761867630482,behavior_only
replay,average_same_vehicle_similarity,0.9999886888873577,behavior_only
replay,average_cross_vehicle_similarity,0.9999870051586628,behavior_only
replay,average_same_attack_cross_vehicle_similarity,0.9999870051586628,behavior_only
malfunction,average_same_vehicle_similarity,0.999988262141943,behavior_only
malfunction,average_cross_vehicle_similarity,0.999984582953453,behavior_only
malfunction,average_same_attack_cross_vehicle_similarity,0.999984582953453,behavior_only
flooding,average_different_attack_cross_vehicle_similarity,0.9999664459168911,behavior_only
fuzzy,average_different_attack_cross_vehicle_similarity,0.999972729754448,behavior_only
replay,average_different_attack_cross_vehicle_similarity,0.9999756536495685,behavior_only
malfunction,average_different_attack_cross_vehicle_similarity,0.9999741189587116,behavior_only
flooding,average_same_vehicle_similarity,0.1570368859775737,behavior_only_vehicle_normalized
flooding,average_cross_vehicle_similarity,0.04927873674158007,behavior_only_vehicle_normalized
flooding,average_same_attack_cross_vehicle_similarity,0.04927873674158007,behavior_only_vehicle_normalized
fuzzy,average_same_vehicle_similarity,0.2581470093790139,behavior_only_vehicle_normalized
fuzzy,average_cross_vehicle_similarity,0.2302792856002599,behavior_only_vehicle_normalized
fuzzy,average_same_attack_cross_vehicle_similarity,0.2302792856002599,behavior_only_vehicle_normalized
replay,average_same_vehicle_similarity,0.3670340888043586,behavior_only_vehicle_normalized
replay,average_cross_vehicle_similarity,0.3430312735149637,behavior_only_vehicle_normalized
replay,average_same_attack_cross_vehicle_similarity,0.3430312735149637,behavior_only_vehicle_normalized
malfunction,average_same_vehicle_similarity,0.16806419711788184,behavior_only_vehicle_normalized
malfunction,average_cross_vehicle_similarity,0.13704352972181513,behavior_only_vehicle_normalized
malfunction,average_same_attack_cross_vehicle_similarity,0.13704352972181513,behavior_only_vehicle_normalized
flooding,average_different_attack_cross_vehicle_similarity,-0.017679861581232397,behavior_only_vehicle_normalized
fuzzy,average_different_attack_cross_vehicle_similarity,-0.03288033716422506,behavior_only_vehicle_normalized
replay,average_different_attack_cross_vehicle_similarity,-0.06257449632655829,behavior_only_vehicle_normalized
malfunction,average_different_attack_cross_vehicle_similarity,-0.10753978542713448,behavior_only_vehicle_normalized
