attack_type,metric,value
flooding,average_same_vehicle_similarity,0.9869519042837414
flooding,average_cross_vehicle_similarity,0.9550022913478782
flooding,average_same_attack_cross_vehicle_similarity,0.9550022913478782
fuzzy,average_same_vehicle_similarity,0.985181904985595
fuzzy,average_cross_vehicle_similarity,0.97398074568595
fuzzy,average_same_attack_cross_vehicle_similarity,0.97398074568595
replay,average_same_vehicle_similarity,0.9971670379111949
replay,average_cross_vehicle_similarity,0.9773303889894309
replay,average_same_attack_cross_vehicle_similarity,0.9773303889894309
malfunction,average_same_vehicle_similarity,0.9813757703879336
malfunction,average_cross_vehicle_similarity,0.9647767490286374
malfunction,average_same_attack_cross_vehicle_similarity,0.9647767490286374
flooding,average_different_attack_cross_vehicle_similarity,0.9511757550664989
fuzzy,average_different_attack_cross_vehicle_similarity,0.9579460614895442
replay,average_different_attack_cross_vehicle_similarity,0.9644521360357425
malfunction,average_different_attack_cross_vehicle_similarity,0.957498143714995
