event_id,gnn_campaign_score
EVT-CHV-000001,0.3648942
EVT-CHV-000002,0.5269496
EVT-CHV-000004,0.41381362
EVT-CHV-000013,0.6425162
EVT-CHV-000014,0.758741
EVT-CHV-000017,0.49889296
EVT-CHV-000018,0.68724686
EVT-CHV-000020,0.35000625
EVT-CHV-000026,0.3634951
EVT-CHV-000028,0.5638727
EVT-CHV-000029,0.39538297
EVT-CHV-000030,0.34471756
EVT-CHV-000032,0.5349206
EVT-CHV-000036,0.43134332
EVT-CHV-000039,0.43711385
EVT-CHV-000040,0.46959046
EVT-CHV-000041,0.6211899
EVT-CHV-000046,0.3620572
EVT-CHV-000048,0.45753986
EVT-CHV-000049,0.38863423
EVT-CHV-000054,0.38667223
EVT-CHV-000059,0.5679395
EVT-CHV-000060,0.68590313
EVT-CHV-000061,0.29856324
EVT-CHV-000062,0.36465105
EVT-CHV-000063,0.66941315
EVT-CHV-000067,0.46145704
EVT-CHV-000070,0.43743423
EVT-CHV-000073,0.2916243
EVT-CHV-000075,0.48828855
EVT-CHV-000076,0.47024798
EVT-CHV-000084,0.44715777
EVT-CHV-000085,0.24954085
EVT-CHV-000086,0.54775375
EVT-CHV-000087,0.4679343
EVT-CHV-000089,0.35001722
EVT-CHV-000094,0.30724797
EVT-CHV-000103,0.41731137
EVT-CHV-000104,0.38417408
EVT-CHV-000105,0.7618089
EVT-CHV-000106,0.5608422
EVT-CHV-000109,0.58441967
EVT-CHV-000110,0.40060654
EVT-CHV-000112,0.27380925
EVT-CHV-000113,0.5081193
EVT-CHV-000114,0.34330544
EVT-CHV-000118,0.42070058
EVT-CHV-000131,0.2829787
EVT-CHV-000133,0.4606132
EVT-CHV-000135,0.32324743
EVT-CHV-000138,0.28175017
EVT-CHV-000140,0.39783973
EVT-CHV-000141,0.28225246
EVT-CHV-000149,0.4846907
EVT-CHV-000151,0.28318012
EVT-CHV-000155,0.4234561
EVT-CHV-000156,0.5707978
EVT-CHV-000159,0.5278837
EVT-CHV-000161,0.3824253
EVT-CHV-000166,0.8140012
EVT-CHV-000170,0.41152483
EVT-CHV-000171,0.56304204
EVT-CHV-000173,0.5121802
EVT-CHV-000175,0.40414643
EVT-CHV-000177,0.2522476
EVT-CHV-000178,0.40753606
EVT-CHV-000179,0.5890587
EVT-CHV-000184,0.65414715
EVT-CHV-000186,0.6452585
EVT-CHV-000187,0.40012634
EVT-CHV-000188,0.70644575
EVT-CHV-000197,0.42803472
EVT-CHV-000199,0.7433212
EVT-CHV-000200,0.5347816
EVT-CHV-000202,0.41345233
EVT-CHV-000204,0.48731652
EVT-CHV-000213,0.37457618
EVT-CHV-000220,0.393771
EVT-CHV-000223,0.34839374
EVT-CHV-000224,0.49121752
EVT-CHV-000230,0.27755848
EVT-CHV-000233,0.4929449
EVT-CHV-000241,0.5604922
EVT-CHV-000243,0.28120008
EVT-CHV-000247,0.5602554
EVT-CHV-000248,0.5202394
EVT-CHV-000250,0.43306583
EVT-CHV-000251,0.70368195
EVT-CHV-000256,0.7438528
EVT-CHV-000259,0.3960107
EVT-CHV-000268,0.4407287
EVT-CHV-000269,0.56654185
EVT-CHV-000270,0.4210496
EVT-CHV-000274,0.3499164
EVT-CHV-000276,0.6030248
EVT-CHV-000277,0.30737972
EVT-CHV-000279,0.53936416
EVT-CHV-000282,0.3985118
EVT-CHV-000287,0.29183507
EVT-CHV-000288,0.4451297
EVT-CHV-000289,0.39685374
EVT-CHV-000292,0.35301214
EVT-CHV-000293,0.37336493
EVT-CHV-000294,0.7142318
EVT-CHV-000296,0.67533463
EVT-CHV-000299,0.22023
EVT-CHV-000302,0.44611266
EVT-CHV-000305,0.27439967
EVT-CHV-000306,0.3091753
EVT-CHV-000309,0.3015621
EVT-CHV-000313,0.2623313
EVT-CHV-000315,0.24644977
EVT-CHV-000316,0.3636535
EVT-CHV-000317,0.64471304
EVT-CHV-000319,0.54467136
EVT-CHV-000321,0.33547243
EVT-CHV-000323,0.4410507
EVT-CHV-000325,0.6814925
EVT-CHV-000326,0.6721889
EVT-CHV-000331,0.7343858
EVT-CHV-000335,0.22890244
EVT-CHV-000339,0.6635129
EVT-CHV-000340,0.27024013
EVT-CHV-000343,0.4226585
EVT-CHV-000344,0.46324274
EVT-CHV-000345,0.46403205
EVT-CHV-000346,0.2714931
EVT-CHV-000348,0.7034364
EVT-CHV-000351,0.67613685
EVT-CHV-000362,0.31676516
EVT-CHV-000367,0.25278854
EVT-CHV-000371,0.59155416
EVT-CHV-000377,0.52820975
EVT-CHV-000379,0.4970948
EVT-CHV-000380,0.7827223
EVT-CHV-000383,0.53760946
EVT-CHV-000384,0.62174064
EVT-CHV-000385,0.7268014
EVT-CHV-000388,0.24530959
EVT-CHV-000390,0.60763025
EVT-CHV-000394,0.81789905
EVT-CHV-000406,0.5749298
EVT-CHV-000408,0.6982964
EVT-CHV-000409,0.39914346
EVT-CHV-000410,0.47393775
EVT-CHV-000411,0.23120743
EVT-CHV-000412,0.2942483
EVT-CHV-000417,0.6854455
EVT-CHV-000420,0.5354386
EVT-CHV-000423,0.6625146
EVT-CHV-000424,0.7065497
EVT-CHV-000426,0.8329152
EVT-CHV-000430,0.39010292
EVT-CHV-000431,0.86143357
EVT-CHV-000432,0.6717795
EVT-CHV-000433,0.43231952
EVT-CHV-000435,0.3310158
EVT-CHV-000436,0.6084213
EVT-CHV-000440,0.6730166
EVT-CHV-000441,0.32824895
EVT-CHV-000442,0.48918927
EVT-CHV-000443,0.45126256
EVT-CHV-000444,0.62043023
EVT-CHV-000445,0.25689346
EVT-CHV-000448,0.5707499
EVT-CHV-000449,0.85643613
EVT-CHV-000452,0.44211012
EVT-CHV-000454,0.68625164
EVT-CHV-000455,0.31554493
EVT-CHV-000456,0.55089086
EVT-CHV-000457,0.28489652
EVT-CHV-000463,0.46877995
EVT-CHV-000464,0.8246522
EVT-CHV-000466,0.43022272
EVT-CHV-000467,0.3867849
EVT-CHV-000469,0.28699943
EVT-CHV-000472,0.6330627
EVT-CHV-000475,0.38123083
EVT-CHV-000477,0.57058996
EVT-CHV-000478,0.71617854
EVT-CHV-000479,0.26058152
EVT-CHV-000480,0.5872534
EVT-CHV-000481,0.30933923
EVT-CHV-000482,0.8144917
EVT-CHV-000486,0.7078403
EVT-CHV-000488,0.31355804
EVT-CHV-000489,0.6000539
EVT-CHV-000490,0.67079335
EVT-CHV-000492,0.324783
EVT-CHV-000493,0.2470637
EVT-CHV-000495,0.4904843
EVT-CHV-000498,0.3404741
EVT-CHV-000500,0.54227656
EVT-CHV-000501,0.64805037
EVT-CHV-000502,0.6255975
EVT-CHV-000505,0.4316538
EVT-CHV-000509,0.3086331
EVT-CHV-000518,0.75293016
EVT-CHV-000521,0.670926
EVT-CHV-000523,0.8718737
EVT-CHV-000524,0.8539627
EVT-CHV-000525,0.28650892
EVT-CHV-000528,0.7674048
EVT-CHV-000533,0.38336867
EVT-CHV-000535,0.6401478
EVT-CHV-000541,0.8523433
EVT-CHV-000544,0.2966751
EVT-CHV-000546,0.3297125
EVT-CHV-000547,0.578497
EVT-CHV-000551,0.400967
EVT-CHV-000557,0.24825391
EVT-CHV-000560,0.511193
EVT-CHV-000564,0.48532546
EVT-CHV-000568,0.5049663
EVT-CHV-000569,0.8603616
EVT-CHV-000570,0.7305587
EVT-CHV-000571,0.409943
EVT-CHV-000572,0.45437336
EVT-CHV-000574,0.40877792
EVT-CHV-000578,0.38804737
EVT-CHV-000581,0.2583438
EVT-CHV-000582,0.44026884
EVT-CHV-000587,0.6776248
EVT-CHV-000590,0.84926265
EVT-CHV-000592,0.45868042
EVT-CHV-000593,0.41465253
EVT-CHV-000597,0.26857087
EVT-CHV-000607,0.28636917
EVT-CHV-000608,0.6686153
EVT-CHV-000610,0.49520546
EVT-CHV-000611,0.60765755
EVT-CHV-000615,0.7765227
EVT-CHV-000616,0.73016655
EVT-CHV-000618,0.81069094
EVT-CHV-000620,0.5132995
EVT-CHV-000621,0.25823116
EVT-CHV-000624,0.33538726
EVT-CHV-000625,0.5075687
EVT-CHV-000629,0.6966851
EVT-CHV-000633,0.7986049
EVT-CHV-000636,0.37689048
EVT-CHV-000637,0.6045443
EVT-CHV-000638,0.4772536
EVT-CHV-000639,0.59639376
EVT-CHV-000641,0.25226077
EVT-CHV-000643,0.32617813
EVT-CHV-000652,0.5838716
EVT-CHV-000653,0.24659035
EVT-CHV-000659,0.73277926
EVT-CHV-000661,0.78143805
EVT-CHV-000662,0.69108546
EVT-CHV-000663,0.58737296
EVT-CHV-000664,0.5421021
EVT-CHV-000666,0.406966
EVT-CHV-000667,0.4676533
EVT-CHV-000675,0.46724325
EVT-CHV-000679,0.567967
EVT-CHV-000680,0.26674852
EVT-CHV-000682,0.8500462
EVT-CHV-000683,0.32155976
EVT-CHV-000684,0.79911035
EVT-CHV-000685,0.69853765
EVT-CHV-000694,0.5603684
EVT-CHV-000695,0.77088225
EVT-CHV-000696,0.22141473
EVT-CHV-000697,0.47935548
EVT-CHV-000699,0.55427545
EVT-CHV-000701,0.40492666
EVT-CHV-000702,0.42505834
EVT-CHV-000703,0.37012073
EVT-CHV-000707,0.72582114
EVT-CHV-000708,0.86031467
EVT-CHV-000710,0.52538985
EVT-CHV-000711,0.53124815
EVT-CHV-000712,0.40415773
EVT-CHV-000713,0.21947311
EVT-CHV-000718,0.3396051
EVT-CHV-000719,0.21983628
EVT-CHV-000720,0.22906381
EVT-CHV-000721,0.68969643
EVT-CHV-000722,0.26148343
EVT-CHV-000723,0.5178412
EVT-CHV-000730,0.75141865
EVT-CHV-000731,0.85342884
EVT-CHV-000737,0.38752928
EVT-CHV-000745,0.29244012
EVT-CHV-000750,0.34027472
EVT-CHV-000753,0.8731271
EVT-CHV-000754,0.8734463
EVT-CHV-000762,0.5754204
EVT-CHV-000767,0.45657754
