descriptor_id,vehicle_id,rank,neighbour_descriptor_id,neighbour_vehicle_id,cosine_similarity,same_vehicle
EVT-CHV-002737,Chevrolet,1,EVT-CHV-002783,Chevrolet,0.999785,1
EVT-CHV-002737,Chevrolet,2,EVT-CHV-002806,Chevrolet,0.999687,1
EVT-CHV-002737,Chevrolet,3,EVT-CHV-002921,Chevrolet,0.999634,1
EVT-CHV-002737,Chevrolet,4,EVT-CHV-002927,Chevrolet,0.999588,1
EVT-CHV-002737,Chevrolet,5,EVT-CHV-003823,Chevrolet,0.999581,1
EVT-CHV-002737,Chevrolet,6,EVT-CHV-003313,Chevrolet,0.999576,1
EVT-CHV-002737,Chevrolet,7,EVT-CHV-003985,Chevrolet,0.999563,1
EVT-CHV-002737,Chevrolet,8,EVT-CHV-002898,Chevrolet,0.999531,1
EVT-CHV-002737,Chevrolet,9,EVT-CHV-003074,Chevrolet,0.99953,1
EVT-CHV-002737,Chevrolet,10,EVT-CHV-002776,Chevrolet,0.999504,1
EVT-CHV-002737,Chevrolet,11,EVT-CHV-004414,Chevrolet,0.999464,1
EVT-CHV-002737,Chevrolet,12,EVT-CHV-002875,Chevrolet,0.999432,1
EVT-CHV-002737,Chevrolet,13,EVT-CHV-004390,Chevrolet,0.999416,1
EVT-CHV-002737,Chevrolet,14,EVT-CHV-003943,Chevrolet,0.999409,1
EVT-CHV-002737,Chevrolet,15,EVT-CHV-002969,Chevrolet,0.999403,1
EVT-CHV-002738,Chevrolet,1,EVT-CHV-002784,Chevrolet,0.99969,1
EVT-CHV-002738,Chevrolet,2,EVT-CHV-002876,Chevrolet,0.99957,1
EVT-CHV-002738,Chevrolet,3,EVT-CHV-002830,Chevrolet,0.999434,1
EVT-CHV-002738,Chevrolet,4,EVT-CHV-003015,Chevrolet,0.999425,1
EVT-CHV-002738,Chevrolet,5,EVT-CHV-002831,Chevrolet,0.999414,1
EVT-CHV-002738,Chevrolet,6,EVT-CHV-002922,Chevrolet,0.999396,1
EVT-CHV-002738,Chevrolet,7,EVT-CHV-004413,Chevrolet,0.999346,1
EVT-CHV-002738,Chevrolet,8,EVT-CHV-002923,Chevrolet,0.999326,1
EVT-CHV-002738,Chevrolet,9,EVT-CHV-002968,Chevrolet,0.999313,1
EVT-CHV-002738,Chevrolet,10,EVT-CHV-002739,Chevrolet,0.999302,1
EVT-CHV-002738,Chevrolet,11,EVT-CHV-002853,Chevrolet,0.999236,1
EVT-CHV-002738,Chevrolet,12,EVT-CHV-004414,Chevrolet,0.99919,1
EVT-CHV-002738,Chevrolet,13,EVT-CHV-003014,Chevrolet,0.999122,1
EVT-CHV-002738,Chevrolet,14,EVT-CHV-003152,Chevrolet,0.999113,1
EVT-CHV-002738,Chevrolet,15,EVT-CHV-003984,Chevrolet,0.999053,1
EVT-CHV-002739,Chevrolet,1,EVT-CHV-002831,Chevrolet,0.999795,1
EVT-CHV-002739,Chevrolet,2,EVT-CHV-003015,Chevrolet,0.999777,1
EVT-CHV-002739,Chevrolet,3,EVT-CHV-003819,Chevrolet,0.99977,1
EVT-CHV-002739,Chevrolet,4,EVT-CHV-003911,Chevrolet,0.999696,1
EVT-CHV-002739,Chevrolet,5,EVT-CHV-003309,Chevrolet,0.999681,1
EVT-CHV-002739,Chevrolet,6,EVT-CHV-003918,Chevrolet,0.999677,1
EVT-CHV-002739,Chevrolet,7,EVT-CHV-004421,Chevrolet,0.999649,1
EVT-CHV-002739,Chevrolet,8,EVT-CHV-002956,Chevrolet,0.999631,1
EVT-CHV-002739,Chevrolet,9,EVT-CHV-003837,Chevrolet,0.999606,1
EVT-CHV-002739,Chevrolet,10,EVT-CHV-003272,Chevrolet,0.999589,1
EVT-CHV-002739,Chevrolet,11,EVT-CHV-003796,Chevrolet,0.999569,1
EVT-CHV-002739,Chevrolet,12,EVT-CHV-002877,Chevrolet,0.999562,1
EVT-CHV-002739,Chevrolet,13,EVT-CHV-003180,Chevrolet,0.999557,1
EVT-CHV-002739,Chevrolet,14,EVT-CHV-003254,Chevrolet,0.999546,1
EVT-CHV-002739,Chevrolet,15,EVT-CHV-002815,Chevrolet,0.999543,1
EVT-CHV-002740,Chevrolet,1,EVT-CHV-004406,Chevrolet,0.999862,1
EVT-CHV-002740,Chevrolet,2,EVT-CHV-002786,Chevrolet,0.99974,1
EVT-CHV-002740,Chevrolet,3,EVT-CHV-004415,Chevrolet,0.999737,1
EVT-CHV-002740,Chevrolet,4,EVT-CHV-002832,Chevrolet,0.999687,1
EVT-CHV-002740,Chevrolet,5,EVT-CHV-002924,Chevrolet,0.999679,1
EVT-CHV-002740,Chevrolet,6,EVT-CHV-003016,Chevrolet,0.999678,1
EVT-CHV-002740,Chevrolet,7,EVT-CHV-002907,Chevrolet,0.999674,1
EVT-CHV-002740,Chevrolet,8,EVT-CHV-002878,Chevrolet,0.999673,1
EVT-CHV-002740,Chevrolet,9,EVT-CHV-003255,Chevrolet,0.99966,1
EVT-CHV-002740,Chevrolet,10,EVT-CHV-003904,Chevrolet,0.999629,1
EVT-CHV-002740,Chevrolet,11,EVT-CHV-002879,Chevrolet,0.999616,1
EVT-CHV-002740,Chevrolet,12,EVT-CHV-003310,Chevrolet,0.999615,1
EVT-CHV-002740,Chevrolet,13,EVT-CHV-004429,Chevrolet,0.999594,1
EVT-CHV-002740,Chevrolet,14,EVT-CHV-003774,Chevrolet,0.999588,1
EVT-CHV-002740,Chevrolet,15,EVT-CHV-003912,Chevrolet,0.999585,1
EVT-CHV-002741,Chevrolet,1,EVT-CHV-002833,Chevrolet,0.999956,1
EVT-CHV-002741,Chevrolet,2,EVT-CHV-004416,Chevrolet,0.999943,1
EVT-CHV-002741,Chevrolet,3,EVT-CHV-003293,Chevrolet,0.999845,1
EVT-CHV-002741,Chevrolet,4,EVT-CHV-002878,Chevrolet,0.999813,1
EVT-CHV-002741,Chevrolet,5,EVT-CHV-002924,Chevrolet,0.99981,1
EVT-CHV-002741,Chevrolet,6,EVT-CHV-003109,Chevrolet,0.999802,1
EVT-CHV-002741,Chevrolet,7,EVT-CHV-003155,Chevrolet,0.999772,1
EVT-CHV-002741,Chevrolet,8,EVT-CHV-003016,Chevrolet,0.999767,1
EVT-CHV-002741,Chevrolet,9,EVT-CHV-003063,Chevrolet,0.999766,1
EVT-CHV-002741,Chevrolet,10,EVT-CHV-003247,Chevrolet,0.999757,1
EVT-CHV-002741,Chevrolet,11,EVT-CHV-003201,Chevrolet,0.999752,1
EVT-CHV-002741,Chevrolet,12,EVT-CHV-003894,Chevrolet,0.999746,1
EVT-CHV-002741,Chevrolet,13,EVT-CHV-002786,Chevrolet,0.999726,1
EVT-CHV-002741,Chevrolet,14,EVT-CHV-002832,Chevrolet,0.999726,1
EVT-CHV-002741,Chevrolet,15,EVT-CHV-002879,Chevrolet,0.999722,1
EVT-CHV-002742,Chevrolet,1,EVT-CHV-002788,Chevrolet,0.999835,1
EVT-CHV-002742,Chevrolet,2,EVT-CHV-002981,Chevrolet,0.999779,1
EVT-CHV-002742,Chevrolet,3,EVT-CHV-002935,Chevrolet,0.999771,1
EVT-CHV-002742,Chevrolet,4,EVT-CHV-002774,Chevrolet,0.999738,1
EVT-CHV-002742,Chevrolet,5,EVT-CHV-003027,Chevrolet,0.999721,1
EVT-CHV-002742,Chevrolet,6,EVT-CHV-002834,Chevrolet,0.999697,1
EVT-CHV-002742,Chevrolet,7,EVT-CHV-002820,Chevrolet,0.99969,1
EVT-CHV-002742,Chevrolet,8,EVT-CHV-003822,Chevrolet,0.999671,1
EVT-CHV-002742,Chevrolet,9,EVT-CHV-003174,Chevrolet,0.999668,1
EVT-CHV-002742,Chevrolet,10,EVT-CHV-003010,Chevrolet,0.999664,1
EVT-CHV-002742,Chevrolet,11,EVT-CHV-003102,Chevrolet,0.999627,1
EVT-CHV-002742,Chevrolet,12,EVT-CHV-003018,Chevrolet,0.999609,1
EVT-CHV-002742,Chevrolet,13,EVT-CHV-003776,Chevrolet,0.999608,1
EVT-CHV-002742,Chevrolet,14,EVT-CHV-002866,Chevrolet,0.999597,1
EVT-CHV-002742,Chevrolet,15,EVT-CHV-003220,Chevrolet,0.999596,1
EVT-CHV-002743,Chevrolet,1,EVT-CHV-002835,Chevrolet,0.999778,1
EVT-CHV-002743,Chevrolet,2,EVT-CHV-002982,Chevrolet,0.999689,1
EVT-CHV-002743,Chevrolet,3,EVT-CHV-002890,Chevrolet,0.999687,1
EVT-CHV-002743,Chevrolet,4,EVT-CHV-002752,Chevrolet,0.999666,1
EVT-CHV-002743,Chevrolet,5,EVT-CHV-002918,Chevrolet,0.999636,1
EVT-CHV-002743,Chevrolet,6,EVT-CHV-003252,Chevrolet,0.999591,1
EVT-CHV-002743,Chevrolet,7,EVT-CHV-003794,Chevrolet,0.999577,1
EVT-CHV-002743,Chevrolet,8,EVT-CHV-003045,Chevrolet,0.999574,1
EVT-CHV-002743,Chevrolet,9,EVT-CHV-003827,Chevrolet,0.999521,1
EVT-CHV-002743,Chevrolet,10,EVT-CHV-002872,Chevrolet,0.999504,1
EVT-CHV-002743,Chevrolet,11,EVT-CHV-003284,Chevrolet,0.999497,1
EVT-CHV-002743,Chevrolet,12,EVT-CHV-003808,Chevrolet,0.999491,1
EVT-CHV-002743,Chevrolet,13,EVT-CHV-002826,Chevrolet,0.999484,1
EVT-CHV-002743,Chevrolet,14,EVT-CHV-003298,Chevrolet,0.999484,1
EVT-CHV-002743,Chevrolet,15,EVT-CHV-003192,Chevrolet,0.999479,1
EVT-CHV-002744,Chevrolet,1,EVT-CHV-002983,Chevrolet,0.999872,1
EVT-CHV-002744,Chevrolet,2,EVT-CHV-003029,Chevrolet,0.999829,1
EVT-CHV-002744,Chevrolet,3,EVT-CHV-003870,Chevrolet,0.99981,1
EVT-CHV-002744,Chevrolet,4,EVT-CHV-002891,Chevrolet,0.999804,1
EVT-CHV-002744,Chevrolet,5,EVT-CHV-002845,Chevrolet,0.999757,1
EVT-CHV-002744,Chevrolet,6,EVT-CHV-002790,Chevrolet,0.99974,1
EVT-CHV-002744,Chevrolet,7,EVT-CHV-002799,Chevrolet,0.999736,1
EVT-CHV-002744,Chevrolet,8,EVT-CHV-002937,Chevrolet,0.999714,1
EVT-CHV-002744,Chevrolet,9,EVT-CHV-002836,Chevrolet,0.999711,1
EVT-CHV-002744,Chevrolet,10,EVT-CHV-003360,Chevrolet,0.9997,1
EVT-CHV-002744,Chevrolet,11,EVT-CHV-003778,Chevrolet,0.999653,1
EVT-CHV-002744,Chevrolet,12,EVT-CHV-003268,Chevrolet,0.999639,1
EVT-CHV-002744,Chevrolet,13,EVT-CHV-003075,Chevrolet,0.999633,1
