attacker_model,target_type,mse,r2
Linear Regression,byte_mean,229.81336813571897,0.2741313642891565
Random Forest Regressor,byte_mean,160.905684917778,0.4758842506417874
MLP Regressor,byte_mean,212.72054859248956,0.32584466397082146
Linear Regression,byte_std,93.4825397405049,0.2728354419732011
Random Forest Regressor,byte_std,65.75623416170905,0.490717338847489
MLP Regressor,byte_std,91.22237485699192,0.297401286669861
Linear Regression,dlc_statistics,3.0141951984274414e-08,0.9999995982074014
Random Forest Regressor,dlc_statistics,1.1617251158590515e-06,0.9999822054688594
MLP Regressor,dlc_statistics,0.0020421671032181746,0.9659006639044843
Linear Regression,all_targets_average,143.68707017055974,0.3542074248063146
Random Forest Regressor,all_targets_average,100.75012328193594,0.5406558060743488
MLP Regressor,all_targets_average,124.68840480069392,0.4367757189195143
