cluster_id,cluster_method,cluster_size,number_of_vehicles,mean_anomaly_score,strong_anomaly_fraction,mean_pairwise_similarity,num_weak_members,num_strong_members
0,dbscan,979,1,0.8266090745658835,0.550561797752809,0.9965656123854019,440,539
1,dbscan,397,1,1.0,1.0,0.9971643511579701,0,397
2,dbscan,116,1,1.0,1.0,0.9976239800453186,0,116
3,dbscan,193,1,1.0,1.0,0.9979361529322189,0,193
4,dbscan,225,2,0.7961341377777778,0.49333333333333335,0.9961623032373857,114,111
5,dbscan,114,2,1.0,1.0,0.9945209622383118,0,114
6,dbscan,464,2,1.0,1.0,0.9973170606246462,0,464
7,dbscan,3174,1,1.0,1.0,0.9973010560435903,0,3174
8,dbscan,589,2,1.0,1.0,0.9981815171417769,0,589
9,dbscan,3624,1,1.0,1.0,0.997495088481283,0,3624
