event_id,vehicle_model,attack_type,anomaly_score,dbscan_cluster_id
EVT-CHV-000001,Chevrolet,attack_free,0.57764,0
EVT-CHV-000002,Chevrolet,attack_free,0.827548,0
EVT-CHV-000004,Chevrolet,attack_free,0.671538,0
EVT-CHV-000013,Chevrolet,attack_free,0.9346,-1
EVT-CHV-000014,Chevrolet,attack_free,0.945561,-1
EVT-CHV-000017,Chevrolet,attack_free,0.77384,0
EVT-CHV-000018,Chevrolet,attack_free,0.963829,0
EVT-CHV-000020,Chevrolet,attack_free,0.553526,-1
EVT-CHV-000026,Chevrolet,attack_free,0.597004,0
EVT-CHV-000028,Chevrolet,attack_free,0.850566,-1
EVT-CHV-000029,Chevrolet,attack_free,0.64779,0
EVT-CHV-000030,Chevrolet,attack_free,0.565583,0
EVT-CHV-000032,Chevrolet,attack_free,0.848374,0
EVT-CHV-000036,Chevrolet,attack_free,0.689076,0
EVT-CHV-000039,Chevrolet,attack_free,0.719401,-1
EVT-CHV-000040,Chevrolet,attack_free,0.754476,0
EVT-CHV-000041,Chevrolet,attack_free,0.914505,-1
EVT-CHV-000046,Chevrolet,attack_free,0.581293,0
EVT-CHV-000048,Chevrolet,attack_free,0.744246,-1
EVT-CHV-000049,Chevrolet,attack_free,0.638655,0
EVT-CHV-000054,Chevrolet,attack_free,0.60833,0
EVT-CHV-000059,Chevrolet,attack_free,0.875776,-1
EVT-CHV-000060,Chevrolet,attack_free,0.966021,-1
EVT-CHV-000061,Chevrolet,attack_free,0.605407,0
EVT-CHV-000062,Chevrolet,attack_free,0.626964,0
EVT-CHV-000063,Chevrolet,attack_free,0.945926,0
EVT-CHV-000067,Chevrolet,attack_free,0.724516,-1
EVT-CHV-000070,Chevrolet,attack_free,0.699306,-1
EVT-CHV-000073,Chevrolet,attack_free,0.571429,0
EVT-CHV-000075,Chevrolet,attack_free,0.769821,0
EVT-CHV-000076,Chevrolet,attack_free,0.811838,-1
EVT-CHV-000084,Chevrolet,attack_free,0.747899,0
EVT-CHV-000085,Chevrolet,attack_free,0.550237,0
EVT-CHV-000086,Chevrolet,attack_free,0.849836,0
EVT-CHV-000087,Chevrolet,attack_free,0.756668,0
EVT-CHV-000089,Chevrolet,attack_free,0.560833,-1
EVT-CHV-000094,Chevrolet,attack_free,0.634271,0
EVT-CHV-000103,Chevrolet,attack_free,0.684326,0
EVT-CHV-000104,Chevrolet,attack_free,0.701498,0
EVT-CHV-000105,Chevrolet,attack_free,0.948849,-1
EVT-CHV-000106,Chevrolet,attack_free,0.800146,-1
EVT-CHV-000109,Chevrolet,attack_free,0.88418,0
EVT-CHV-000110,Chevrolet,attack_free,0.681768,0
EVT-CHV-000112,Chevrolet,attack_free,0.611984,-1
EVT-CHV-000113,Chevrolet,attack_free,0.814761,-1
EVT-CHV-000114,Chevrolet,attack_free,0.665327,0
EVT-CHV-000118,Chevrolet,attack_free,0.685787,0
EVT-CHV-000131,Chevrolet,attack_free,0.579467,0
EVT-CHV-000133,Chevrolet,attack_free,0.767263,0
EVT-CHV-000135,Chevrolet,attack_free,0.619291,-1
EVT-CHV-000138,Chevrolet,attack_free,0.581659,0
EVT-CHV-000140,Chevrolet,attack_free,0.69821,0
EVT-CHV-000141,Chevrolet,attack_free,0.569967,0
EVT-CHV-000149,Chevrolet,attack_free,0.742419,0
EVT-CHV-000151,Chevrolet,attack_free,0.603946,0
EVT-CHV-000155,Chevrolet,attack_free,0.725977,0
EVT-CHV-000156,Chevrolet,attack_free,0.839605,0
EVT-CHV-000159,Chevrolet,attack_free,0.806723,-1
EVT-CHV-000161,Chevrolet,attack_free,0.615272,0
EVT-CHV-000166,Chevrolet,attack_free,0.957983,-1
EVT-CHV-000170,Chevrolet,attack_free,0.726343,0
EVT-CHV-000171,Chevrolet,attack_free,0.868834,0
EVT-CHV-000173,Chevrolet,attack_free,0.828645,0
EVT-CHV-000175,Chevrolet,attack_free,0.625502,-1
EVT-CHV-000177,Chevrolet,attack_free,0.592985,0
EVT-CHV-000178,Chevrolet,attack_free,0.746072,0
EVT-CHV-000179,Chevrolet,attack_free,0.892948,-1
EVT-CHV-000184,Chevrolet,attack_free,0.931312,0
EVT-CHV-000186,Chevrolet,attack_free,0.9251,0
EVT-CHV-000187,Chevrolet,attack_free,0.694921,0
EVT-CHV-000188,Chevrolet,attack_free,0.911217,0
EVT-CHV-000197,Chevrolet,attack_free,0.700402,-1
EVT-CHV-000199,Chevrolet,attack_free,0.918524,0
EVT-CHV-000200,Chevrolet,attack_free,0.849105,-1
EVT-CHV-000202,Chevrolet,attack_free,0.690537,0
EVT-CHV-000204,Chevrolet,attack_free,0.77859,-1
EVT-CHV-000213,Chevrolet,attack_free,0.624041,-1
EVT-CHV-000220,Chevrolet,attack_free,0.633175,0
EVT-CHV-000223,Chevrolet,attack_free,0.700767,0
EVT-CHV-000224,Chevrolet,attack_free,0.802338,0
EVT-CHV-000230,Chevrolet,attack_free,0.668981,0
EVT-CHV-000233,Chevrolet,attack_free,0.777859,0
EVT-CHV-000241,Chevrolet,attack_free,0.835952,-1
EVT-CHV-000243,Chevrolet,attack_free,0.599562,0
EVT-CHV-000247,Chevrolet,attack_free,0.8692,0
EVT-CHV-000248,Chevrolet,attack_free,0.830837,0
EVT-CHV-000250,Chevrolet,attack_free,0.728535,0
EVT-CHV-000251,Chevrolet,attack_free,0.98027,-1
EVT-CHV-000256,Chevrolet,attack_free,0.907563,-1
EVT-CHV-000259,Chevrolet,attack_free,0.711728,-1
EVT-CHV-000268,Chevrolet,attack_free,0.734015,0
EVT-CHV-000269,Chevrolet,attack_free,0.834125,-1
EVT-CHV-000270,Chevrolet,attack_free,0.71867,0
EVT-CHV-000274,Chevrolet,attack_free,0.563025,-1
EVT-CHV-000276,Chevrolet,attack_free,0.900986,0
EVT-CHV-000277,Chevrolet,attack_free,0.599927,0
EVT-CHV-000279,Chevrolet,attack_free,0.812934,0
EVT-CHV-000282,Chevrolet,attack_free,0.69346,0
EVT-CHV-000287,Chevrolet,attack_free,0.636829,0
EVT-CHV-000288,Chevrolet,attack_free,0.71392,0
EVT-CHV-000289,Chevrolet,attack_free,0.758495,-1
EVT-CHV-000292,Chevrolet,attack_free,0.678845,-1
EVT-CHV-000293,Chevrolet,attack_free,0.670077,0
EVT-CHV-000294,Chevrolet,attack_free,0.990866,0
EVT-CHV-000296,Chevrolet,attack_free,0.964925,-1
EVT-CHV-000299,Chevrolet,attack_free,0.554987,0
EVT-CHV-000302,Chevrolet,attack_free,0.730362,0
EVT-CHV-000305,Chevrolet,attack_free,0.585678,-1
EVT-CHV-000306,Chevrolet,attack_free,0.659116,0
EVT-CHV-000309,Chevrolet,attack_free,0.607965,0
EVT-CHV-000313,Chevrolet,attack_free,0.561564,0
EVT-CHV-000315,Chevrolet,attack_free,0.573621,0
EVT-CHV-000316,Chevrolet,attack_free,0.676288,0
EVT-CHV-000317,Chevrolet,attack_free,0.933138,-1
EVT-CHV-000319,Chevrolet,attack_free,0.811107,-1
EVT-CHV-000321,Chevrolet,attack_free,0.632079,0
EVT-CHV-000323,Chevrolet,attack_free,0.720497,-1
EVT-CHV-000325,Chevrolet,attack_free,0.960175,0
EVT-CHV-000326,Chevrolet,attack_free,0.89441,0
EVT-CHV-000331,Chevrolet,attack_free,0.918159,0
EVT-CHV-000335,Chevrolet,attack_free,0.58312,0
EVT-CHV-000339,Chevrolet,attack_free,0.881257,0
EVT-CHV-000340,Chevrolet,attack_free,0.582755,0
EVT-CHV-000343,Chevrolet,attack_free,0.710632,-1
EVT-CHV-000344,Chevrolet,attack_free,0.786993,-1
EVT-CHV-000345,Chevrolet,attack_free,0.812569,0
EVT-CHV-000346,Chevrolet,attack_free,0.658385,-1
EVT-CHV-000348,Chevrolet,attack_free,0.987212,-1
EVT-CHV-000351,Chevrolet,attack_free,0.953964,-1
EVT-CHV-000362,Chevrolet,attack_free,0.616003,0
EVT-CHV-000367,Chevrolet,attack_free,0.580563,-1
EVT-CHV-000371,Chevrolet,attack_free,0.891487,-1
EVT-CHV-000377,Chevrolet,attack_free,0.843259,0
EVT-CHV-000379,Chevrolet,attack_free,0.792474,-1
EVT-CHV-000380,Chevrolet,attack_free,0.932408,0
EVT-CHV-000383,Chevrolet,attack_free,0.841067,-1
