window_id,vehicle_id,anomaly_score,ground_truth_label,descriptor_id,attack_type,local_alert
1,Chevrolet,0.57764,0,EVT-CHV-000001,attack_free,0
4,Chevrolet,0.671538,0,EVT-CHV-000004,attack_free,0
17,Chevrolet,0.77384,0,EVT-CHV-000017,attack_free,0
20,Chevrolet,0.553526,0,EVT-CHV-000020,attack_free,0
26,Chevrolet,0.597004,0,EVT-CHV-000026,attack_free,0
29,Chevrolet,0.64779,0,EVT-CHV-000029,attack_free,0
30,Chevrolet,0.565583,0,EVT-CHV-000030,attack_free,0
36,Chevrolet,0.689076,0,EVT-CHV-000036,attack_free,0
39,Chevrolet,0.719401,0,EVT-CHV-000039,attack_free,0
40,Chevrolet,0.754476,0,EVT-CHV-000040,attack_free,0
46,Chevrolet,0.581293,0,EVT-CHV-000046,attack_free,0
48,Chevrolet,0.744246,0,EVT-CHV-000048,attack_free,0
49,Chevrolet,0.638655,0,EVT-CHV-000049,attack_free,0
54,Chevrolet,0.60833,0,EVT-CHV-000054,attack_free,0
61,Chevrolet,0.605407,0,EVT-CHV-000061,attack_free,0
62,Chevrolet,0.626964,0,EVT-CHV-000062,attack_free,0
67,Chevrolet,0.724516,0,EVT-CHV-000067,attack_free,0
70,Chevrolet,0.699306,0,EVT-CHV-000070,attack_free,0
73,Chevrolet,0.571429,0,EVT-CHV-000073,attack_free,0
75,Chevrolet,0.769821,0,EVT-CHV-000075,attack_free,0
84,Chevrolet,0.747899,0,EVT-CHV-000084,attack_free,0
85,Chevrolet,0.550237,0,EVT-CHV-000085,attack_free,0
87,Chevrolet,0.756668,0,EVT-CHV-000087,attack_free,0
89,Chevrolet,0.560833,0,EVT-CHV-000089,attack_free,0
94,Chevrolet,0.634271,0,EVT-CHV-000094,attack_free,0
103,Chevrolet,0.684326,0,EVT-CHV-000103,attack_free,0
104,Chevrolet,0.701498,0,EVT-CHV-000104,attack_free,0
110,Chevrolet,0.681768,0,EVT-CHV-000110,attack_free,0
112,Chevrolet,0.611984,0,EVT-CHV-000112,attack_free,0
114,Chevrolet,0.665327,0,EVT-CHV-000114,attack_free,0
118,Chevrolet,0.685787,0,EVT-CHV-000118,attack_free,0
131,Chevrolet,0.579467,0,EVT-CHV-000131,attack_free,0
133,Chevrolet,0.767263,0,EVT-CHV-000133,attack_free,0
135,Chevrolet,0.619291,0,EVT-CHV-000135,attack_free,0
138,Chevrolet,0.581659,0,EVT-CHV-000138,attack_free,0
140,Chevrolet,0.69821,0,EVT-CHV-000140,attack_free,0
141,Chevrolet,0.569967,0,EVT-CHV-000141,attack_free,0
149,Chevrolet,0.742419,0,EVT-CHV-000149,attack_free,0
151,Chevrolet,0.603946,0,EVT-CHV-000151,attack_free,0
155,Chevrolet,0.725977,0,EVT-CHV-000155,attack_free,0
161,Chevrolet,0.615272,0,EVT-CHV-000161,attack_free,0
170,Chevrolet,0.726343,0,EVT-CHV-000170,attack_free,0
175,Chevrolet,0.625502,0,EVT-CHV-000175,attack_free,0
177,Chevrolet,0.592985,0,EVT-CHV-000177,attack_free,0
178,Chevrolet,0.746072,0,EVT-CHV-000178,attack_free,0
187,Chevrolet,0.694921,0,EVT-CHV-000187,attack_free,0
197,Chevrolet,0.700402,0,EVT-CHV-000197,attack_free,0
202,Chevrolet,0.690537,0,EVT-CHV-000202,attack_free,0
204,Chevrolet,0.77859,0,EVT-CHV-000204,attack_free,0
213,Chevrolet,0.624041,0,EVT-CHV-000213,attack_free,0
220,Chevrolet,0.633175,0,EVT-CHV-000220,attack_free,0
223,Chevrolet,0.700767,0,EVT-CHV-000223,attack_free,0
230,Chevrolet,0.668981,0,EVT-CHV-000230,attack_free,0
233,Chevrolet,0.777859,0,EVT-CHV-000233,attack_free,0
243,Chevrolet,0.599562,0,EVT-CHV-000243,attack_free,0
250,Chevrolet,0.728535,0,EVT-CHV-000250,attack_free,0
259,Chevrolet,0.711728,0,EVT-CHV-000259,attack_free,0
268,Chevrolet,0.734015,0,EVT-CHV-000268,attack_free,0
270,Chevrolet,0.71867,0,EVT-CHV-000270,attack_free,0
274,Chevrolet,0.563025,0,EVT-CHV-000274,attack_free,0
277,Chevrolet,0.599927,0,EVT-CHV-000277,attack_free,0
282,Chevrolet,0.69346,0,EVT-CHV-000282,attack_free,0
287,Chevrolet,0.636829,0,EVT-CHV-000287,attack_free,0
288,Chevrolet,0.71392,0,EVT-CHV-000288,attack_free,0
289,Chevrolet,0.758495,0,EVT-CHV-000289,attack_free,0
292,Chevrolet,0.678845,0,EVT-CHV-000292,attack_free,0
293,Chevrolet,0.670077,0,EVT-CHV-000293,attack_free,0
299,Chevrolet,0.554987,0,EVT-CHV-000299,attack_free,0
302,Chevrolet,0.730362,0,EVT-CHV-000302,attack_free,0
305,Chevrolet,0.585678,0,EVT-CHV-000305,attack_free,0
306,Chevrolet,0.659116,0,EVT-CHV-000306,attack_free,0
309,Chevrolet,0.607965,0,EVT-CHV-000309,attack_free,0
313,Chevrolet,0.561564,0,EVT-CHV-000313,attack_free,0
315,Chevrolet,0.573621,0,EVT-CHV-000315,attack_free,0
316,Chevrolet,0.676288,0,EVT-CHV-000316,attack_free,0
321,Chevrolet,0.632079,0,EVT-CHV-000321,attack_free,0
323,Chevrolet,0.720497,0,EVT-CHV-000323,attack_free,0
335,Chevrolet,0.58312,0,EVT-CHV-000335,attack_free,0
340,Chevrolet,0.582755,0,EVT-CHV-000340,attack_free,0
343,Chevrolet,0.710632,0,EVT-CHV-000343,attack_free,0
344,Chevrolet,0.786993,0,EVT-CHV-000344,attack_free,0
346,Chevrolet,0.658385,0,EVT-CHV-000346,attack_free,0
362,Chevrolet,0.616003,0,EVT-CHV-000362,attack_free,0
367,Chevrolet,0.580563,0,EVT-CHV-000367,attack_free,0
379,Chevrolet,0.792474,0,EVT-CHV-000379,attack_free,0
388,Chevrolet,0.55316,0,EVT-CHV-000388,attack_free,0
409,Chevrolet,0.710267,0,EVT-CHV-000409,attack_free,0
410,Chevrolet,0.772013,0,EVT-CHV-000410,attack_free,0
411,Chevrolet,0.56814,0,EVT-CHV-000411,attack_free,0
412,Chevrolet,0.607234,0,EVT-CHV-000412,attack_free,0
420,Chevrolet,0.788089,0,EVT-CHV-000420,attack_free,0
430,Chevrolet,0.724151,0,EVT-CHV-000430,attack_free,0
433,Chevrolet,0.762879,0,EVT-CHV-000433,attack_free,0
435,Chevrolet,0.635367,0,EVT-CHV-000435,attack_free,0
441,Chevrolet,0.651809,0,EVT-CHV-000441,attack_free,0
442,Chevrolet,0.771648,0,EVT-CHV-000442,attack_free,0
443,Chevrolet,0.761418,0,EVT-CHV-000443,attack_free,0
445,Chevrolet,0.569236,0,EVT-CHV-000445,attack_free,0
452,Chevrolet,0.727439,0,EVT-CHV-000452,attack_free,0
455,Chevrolet,0.618926,0,EVT-CHV-000455,attack_free,0
457,Chevrolet,0.644136,0,EVT-CHV-000457,attack_free,0
463,Chevrolet,0.749726,0,EVT-CHV-000463,attack_free,0
466,Chevrolet,0.722324,0,EVT-CHV-000466,attack_free,0
467,Chevrolet,0.66825,0,EVT-CHV-000467,attack_free,0
469,Chevrolet,0.646693,0,EVT-CHV-000469,attack_free,0
475,Chevrolet,0.615638,0,EVT-CHV-000475,attack_free,0
479,Chevrolet,0.572159,0,EVT-CHV-000479,attack_free,0
481,Chevrolet,0.629887,0,EVT-CHV-000481,attack_free,0
488,Chevrolet,0.62331,0,EVT-CHV-000488,attack_free,0
492,Chevrolet,0.692364,0,EVT-CHV-000492,attack_free,0
493,Chevrolet,0.558275,0,EVT-CHV-000493,attack_free,0
495,Chevrolet,0.776032,0,EVT-CHV-000495,attack_free,0
498,Chevrolet,0.63354,0,EVT-CHV-000498,attack_free,0
505,Chevrolet,0.746803,0,EVT-CHV-000505,attack_free,0
509,Chevrolet,0.677749,0,EVT-CHV-000509,attack_free,0
525,Chevrolet,0.61783,0,EVT-CHV-000525,attack_free,0
533,Chevrolet,0.729266,0,EVT-CHV-000533,attack_free,0
544,Chevrolet,0.616734,0,EVT-CHV-000544,attack_free,0
546,Chevrolet,0.664962,0,EVT-CHV-000546,attack_free,0
551,Chevrolet,0.702229,0,EVT-CHV-000551,attack_free,0
557,Chevrolet,0.587505,0,EVT-CHV-000557,attack_free,0
564,Chevrolet,0.75886,0,EVT-CHV-000564,attack_free,0
568,Chevrolet,0.766898,0,EVT-CHV-000568,attack_free,0
571,Chevrolet,0.71319,0,EVT-CHV-000571,attack_free,0
572,Chevrolet,0.751187,0,EVT-CHV-000572,attack_free,0
574,Chevrolet,0.709171,0,EVT-CHV-000574,attack_free,0
578,Chevrolet,0.689806,0,EVT-CHV-000578,attack_free,0
581,Chevrolet,0.576178,0,EVT-CHV-000581,attack_free,0
582,Chevrolet,0.738034,0,EVT-CHV-000582,attack_free,0
592,Chevrolet,0.767994,0,EVT-CHV-000592,attack_free,0
